[2018-12-02 10:17:46:0332] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0342] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0342] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0342] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0342] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0352] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0352] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0352] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0352] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0362] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0362] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0362] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0362] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0372] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0372] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0372] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0372] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0382] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0382] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0382] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0382] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0392] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0392] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0392] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0392] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0402] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0402] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0402] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0402] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0412] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0412] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0412] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0412] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0422] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0422] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0422] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0422] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0432] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0432] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0432] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0432] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0442] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0442] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0442] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0442] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0452] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0452] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0452] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0452] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0462] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0462] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0462] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0462] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0472] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0472] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0472] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0472] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0482] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0482] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0482] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0482] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0492] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0492] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0492] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0492] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0502] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0502] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0502] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0502] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0512] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0512] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0512] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0512] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0522] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0522] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0522] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
